mapping,pair,contrast,endpoint,estimate,lower,upper,holm_adjusted_pvalue
original,ministral_minus_qwen,awq_minus_fp16,reference_standardized_route_effect,0.486358033146514,0.45744567227468397,0.5163381025520128,7.187157838822967e-228
cycle_1,ministral_minus_qwen,awq_minus_fp16,reference_standardized_route_effect,0.31964882828311375,0.29248885587360385,0.34793897235902005,2.5728475258631828e-113
cycle_2,ministral_minus_qwen,awq_minus_fp16,reference_standardized_route_effect,0.4760770200143114,0.4442619341543649,0.5094119914800981,1.8591973635373302e-178
original,ministral_minus_qwen,awq_minus_gptq,reference_standardized_route_effect,0.4655576172858947,0.43587407116327,0.49715127119967883,5.484951122199689e-193
cycle_1,ministral_minus_qwen,awq_minus_gptq,reference_standardized_route_effect,0.13756198886776835,0.11179207411060134,0.1650789113932709,7.247399757597083e-23
cycle_2,ministral_minus_qwen,awq_minus_gptq,reference_standardized_route_effect,0.3609528580278698,0.33071677569740965,0.3929141592370865,1.5977531270547926e-112
original,olmo_minus_qwen,awq_minus_fp16,reference_standardized_route_effect,0.272277155696425,0.24449340289958893,0.3010484086342959,3.9136712978258073e-78
cycle_1,olmo_minus_qwen,awq_minus_fp16,reference_standardized_route_effect,-0.002264279753595999,-0.034741802062155866,0.0285336901514919,0.8885659100699721
cycle_2,olmo_minus_qwen,awq_minus_fp16,reference_standardized_route_effect,0.2060210495268907,0.17892585534758382,0.2340604155443933,9.02527252031326e-47
original,olmo_minus_qwen,awq_minus_gptq,reference_standardized_route_effect,0.22032473633869368,0.19324556693677225,0.24840251843519406,3.2955418496806734e-55
cycle_1,olmo_minus_qwen,awq_minus_gptq,reference_standardized_route_effect,-0.13844986377716362,-0.16998619092852246,-0.10881047544412614,7.053871193106222e-18
cycle_2,olmo_minus_qwen,awq_minus_gptq,reference_standardized_route_effect,0.053359722994011205,0.027327150940098133,0.0797168460709333,0.00022192883362434393
original,olmo_minus_ministral,awq_minus_fp16,reference_standardized_route_effect,-0.21408087745008897,-0.23770080819892198,-0.19110247748668702,3.9317082267075116e-73
cycle_1,olmo_minus_ministral,awq_minus_fp16,reference_standardized_route_effect,-0.32191310803670975,-0.3572670536682522,-0.2888291706240497,3.591900914335479e-75
cycle_2,olmo_minus_ministral,awq_minus_fp16,reference_standardized_route_effect,-0.2700559704874207,-0.29783127052420816,-0.24274406468661558,8.727701176316518e-81
original,olmo_minus_ministral,awq_minus_gptq,reference_standardized_route_effect,-0.24523288094720097,-0.2698874114001118,-0.22160695888110754,1.4414869992497592e-89
cycle_1,olmo_minus_ministral,awq_minus_gptq,reference_standardized_route_effect,-0.276011852644932,-0.3080116483216899,-0.2459165145657,2.770428072680513e-67
cycle_2,olmo_minus_ministral,awq_minus_gptq,reference_standardized_route_effect,-0.3075931350338586,-0.3372749864963389,-0.2788284011737593,1.6217166073687162e-92
original,ministral_minus_qwen,awq_minus_fp16,directional_common_language_effect,0.3362708719851577,0.3051948051948052,0.3682745825602968,1.427781563756141e-96
cycle_1,ministral_minus_qwen,awq_minus_fp16,directional_common_language_effect,0.18042671614100184,0.15398886827458258,0.20779220779220778,4.845633663730517e-39
cycle_2,ministral_minus_qwen,awq_minus_fp16,directional_common_language_effect,0.3232838589981447,0.29313543599257885,0.3538961038961039,1.2255528532432055e-93
original,ministral_minus_qwen,awq_minus_gptq,directional_common_language_effect,0.43019480519480513,0.3970315398886827,0.46451762523191087,7.426700604329594e-141
cycle_1,ministral_minus_qwen,awq_minus_gptq,directional_common_language_effect,0.15051020408163263,0.11317254174397035,0.18807977736549167,2.3933240492423864e-14
cycle_2,ministral_minus_qwen,awq_minus_gptq,directional_common_language_effect,0.3471706864564007,0.3133116883116883,0.3810296846011132,4.905373937320107e-87
original,olmo_minus_qwen,awq_minus_fp16,directional_common_language_effect,0.09601113172541743,0.07282003710575138,0.11966604823747681,2.6915072390558123e-15
cycle_1,olmo_minus_qwen,awq_minus_fp16,directional_common_language_effect,0.026437847866419284,0.006957328385899811,0.04638218923933209,0.026559034877836358
cycle_2,olmo_minus_qwen,awq_minus_fp16,directional_common_language_effect,0.06145640074211503,0.03965097402597403,0.08348794063079779,2.68506362873107e-07
original,olmo_minus_qwen,awq_minus_gptq,directional_common_language_effect,0.09137291280148421,0.06539888682745826,0.11827458256029684,1.3189786249877204e-11
cycle_1,olmo_minus_qwen,awq_minus_gptq,directional_common_language_effect,-0.08395176252319109,-0.11479591836734693,-0.053803339517625226,3.2787307140198723e-07
cycle_2,olmo_minus_qwen,awq_minus_gptq,directional_common_language_effect,0.015769944341372938,-0.010667903525046374,0.04220779220779222,0.47886709805050076
original,olmo_minus_ministral,awq_minus_fp16,directional_common_language_effect,-0.24025974025974026,-0.275974025974026,-0.20454545454545456,2.0871490895729503e-39
cycle_1,olmo_minus_ministral,awq_minus_fp16,directional_common_language_effect,-0.15398886827458255,-0.18135435992578852,-0.12662337662337664,5.343660336907792e-27
cycle_2,olmo_minus_ministral,awq_minus_fp16,directional_common_language_effect,-0.2618274582560297,-0.2956864564007421,-0.2282003710575139,3.1118719948307374e-50
original,olmo_minus_ministral,awq_minus_gptq,directional_common_language_effect,-0.33882189239332094,-0.3756957328385899,-0.30194805194805197,1.300229582891103e-73
cycle_1,olmo_minus_ministral,awq_minus_gptq,directional_common_language_effect,-0.2344619666048237,-0.26739332096474955,-0.2015248144712431,7.129074337673285e-43
cycle_2,olmo_minus_ministral,awq_minus_gptq,directional_common_language_effect,-0.3314007421150278,-0.3668831168831169,-0.29638218923933213,7.631405376082394e-76
